"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"33","Botswana","BWA","Africa","Sub-Saharan Africa",62.24785,28.31408,2401.84,12.8184,16.89481,6.31,3.48,18,11.5,86.8231811523438,"Gaborone",8.11846351623535,20.684,6657.58508921651
"34","Central African Republic","CAF","Africa","Sub-Saharan Africa",53.09729,75.42222,4996.741,27.19802,8.03381,9.07,0.658,10,3,37.4900016784668,"Bangui",4.56999969482422,6.363,364.690753381785
"35","Canada","CAN","Americas","North America",82.23827,4.42516,36545.236,5.19552,2.39944,12.33,24.636,25.2,86.76586,NA,NA,13.7220153808594,5.209,44928.588758557
"36","Switzerland","CHE","Europe","Europe & Central Asia",83.44616,3.38033,8451.84,7.7901,0.49275,11.8,44.427,46.3,85.2,NA,NA,13.2655611038208,4.202,90057.0359422233
"37","Chile","CHL","Americas","Latin America & Caribbean",80.73621,5.61571,18368.577,20.48648,3.92424,9.34,29.729,20.6,61.41816,97.1600036621094,"Santiago",13.0017833709717,7.784,14355.606236598
"38","China","CHN","Asia","East Asia & Pacific",77.43322,5.05007,1396215,40.16787,0.77087,5.38,23.873,43.1,42.30012,97.1500015258789,"Beijing",13.1377935409546,4.886,11560.2421221288
"39","Côte d’Ivoire","CIV","Africa","Sub-Saharan Africa",62.91527,55.85255,24848.016,40.41493,11.48894,3.13,1.596,4,2.37896,89.8934173583984,"Yamoussoukro",8.05733776092529,2.637,2430.30692104788
"40","Cameroon","CMR","Africa","Sub-Saharan Africa",62.35601,46.9507,24393.181,56.36692,6.43916,3.82,1.242,13,5.69899,78.2300033569336,"Yaounde",8.72147846221924,4.001,1441.79490493379
"41","Congo - Kinshasa","COD","Africa","Sub-Saharan Africa",62.35105,62.36966,84283.273,37.44279,20.28094,3.79,3.622,8,1.67996,80.5400009155273,"Kinshasa",9.13184547424316,4.987,528.788834504898
"42","Congo - Brazzaville","COG","Africa","Sub-Saharan Africa",64.73853,31.97887,5312.34,37.81017,4.08677,3.88,1,16,6.1067,80.6100006103516,"Brazzaville",8.91276931762695,21.795,1704.27235187544
"43","Cook Islands","COK","Oceania","East Asia & Pacific",NA,6.12677,NA,7.86765,NA,3.82,13.45,NA,NA,NA,NA,NA,NA,NA
"44","Colombia","COL","Americas","Latin America & Caribbean",79.31356,11.05827,48351.671,15.08804,6.86019,9.02,23.615,17.1,48.98432,95.6363296508789,"Bogota",12.8603744506836,10.726,6842.53251183401
"45","Comoros","COM","Africa","Sub-Saharan Africa",67.3913,39.29761,761.664,14.0178,10.99022,6.34,2.834,21.6,5.9753,61.7099990844727,"Moroni",8.17353343963623,8.811,1362.77802062384
"46","Cape Verde","CPV","Africa","Sub-Saharan Africa",74.03075,11.66326,564.954,32.62875,13.35798,6.9,7.913,21,34.74342,91,"Praia",NA,13.57,3494.5692436774
"47","Costa Rica","CRI","Americas","Latin America & Caribbean",80.84692,6.24433,4993.842,14.69544,12.58593,7.57,27.703,11,47.50092,98.0400009155273,"San Jose",13.1157264709473,11.453,13424.4647013731
"48","Cuba","CUB","Americas","Latin America & Caribbean",77.76285,3.99293,11336.405,12.92955,2.28878,13.79,84.273,53.31035,25.6417,99.6731109619141,"Havana",NA,1.386,7449.68287994077
"49","Curaçao","CUW","Americas","Latin America & Caribbean",NA,NA,160.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17387.285399541
"50","Cayman Islands","CYM","Americas","Latin America & Caribbean",NA,NA,63.581,NA,NA,NA,NA,NA,NA,98.8678207397461,"George Town",NA,NA,80946.9660025177
